Id;País;Ano;Quantidade;Valor
1;Africa do Sul;1970;0;0
2;Alemanha;1970;52297;30498
3;Argélia;1970;0;0
4;Arábia Saudita;1970;0;0
5;Argentina;1970;19525;12260
6;Armênia;1970;0;0
7;Austrália;1970;0;0
8;Áustria;1970;1328;707
9;Bermudas;1970;0;0
10;Bélgica;1970;0;0
11;Bolívia;1970;0;0
12;Bósnia-Herzegovina;1970;0;0
13;Brasil;1970;0;0
14;Bulgária;1970;0;0
15;Canada;1970;0;0
16;Chile;1970;162370;101819
17;China;1970;0;0
18;Coreia do Sul, República;1970;0;0
19;Croácia;1970;0;0
20;Cuba;1970;0;0
21;Emirados Árabes Unidos;1970;0;0
22;Eslovênia;1970;0;0
23;Eslováquia;1970;0;0
24;Espanha;1970;261126;90159
25;Estados Unidos;1970;0;0
26;França;1970;91544;78135
27;Geórgia;1970;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1970;0;0
29;Grécia;1970;0;0
30;Hong Kong;1970;0;0
31;Hungria;1970;0;0
32;Indonésia;1970;0;0
33;Irlanda;1970;0;0
34;Israel;1970;0;0
35;Itália;1970;58802;32376
36;Japão;1970;0;0
37;Iugoslávia;1970;702;326
38;Líbano;1970;0;0
39;Luxemburgo;1970;0;0
40;Macedônia;1970;0;0
41;Marrocos;1970;0;0
42;México;1970;0;0
43;Moldávia;1970;0;0
44;Montenegro;1970;0;0
45;Noruega;1970;0;0
46;Nova Zelândia;1970;0;0
47;Países Baixos (Holanda);1970;0;0
48;Panamá;1970;0;0
49;Paraguai;1970;0;0
50;Peru;1970;0;0
51;Porto Rico;1970;0;0
52;Portugal;1970;785609;531480
53;Reino Unido;1970;0;0
54;Republica Dominicana;1970;0;0
55;Romênia;1970;0;0
56;Rússia;1970;0;0
57;San Marino;1970;0;0
58;Sérvia;1970;0;0
59;Síria;1970;0;0
60;Suazilândia;1970;0;0
61;Suíça;1970;0;0
62;Tcheca, República;1970;0;0
63;Tunísia;1970;0;0
64;Turquia;1970;0;0
65;Ucrânia;1970;0;0
66;Uruguai;1970;5767;1871
67;Não consta na tabela;1970;0;0
68;Não declarados;1970;0;0
69;Outros;1970;5508;4255
1;Africa do Sul;1971;0;0
2;Alemanha;1971;34606;30498
3;Argélia;1971;0;0
4;Arábia Saudita;1971;0;0
5;Argentina;1971;24942;12260
6;Armênia;1971;0;0
7;Austrália;1971;0;0
8;Áustria;1971;0;707
9;Bermudas;1971;0;0
10;Bélgica;1971;0;0
11;Bolívia;1971;0;0
12;Bósnia-Herzegovina;1971;0;0
13;Brasil;1971;0;0
14;Bulgária;1971;0;0
15;Canada;1971;0;0
16;Chile;1971;74406;101819
17;China;1971;0;0
18;Coreia do Sul, República;1971;0;0
19;Croácia;1971;0;0
20;Cuba;1971;0;0
21;Emirados Árabes Unidos;1971;0;0
22;Eslovênia;1971;0;0
23;Eslováquia;1971;0;0
24;Espanha;1971;140507;90159
25;Estados Unidos;1971;915;0
26;França;1971;88714;78135
27;Geórgia;1971;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1971;0;0
29;Grécia;1971;0;0
30;Hong Kong;1971;0;0
31;Hungria;1971;0;0
32;Indonésia;1971;0;0
33;Irlanda;1971;0;0
34;Israel;1971;0;0
35;Itália;1971;108409;32376
36;Japão;1971;0;0
37;Iugoslávia;1971;640;326
38;Líbano;1971;0;0
39;Luxemburgo;1971;0;0
40;Macedônia;1971;0;0
41;Marrocos;1971;0;0
42;México;1971;0;0
43;Moldávia;1971;0;0
44;Montenegro;1971;0;0
45;Noruega;1971;0;0
46;Nova Zelândia;1971;0;0
47;Países Baixos (Holanda);1971;0;0
48;Panamá;1971;0;0
49;Paraguai;1971;0;0
50;Peru;1971;0;0
51;Porto Rico;1971;0;0
52;Portugal;1971;897310;531480
53;Reino Unido;1971;0;0
54;Republica Dominicana;1971;0;0
55;Romênia;1971;0;0
56;Rússia;1971;0;0
57;San Marino;1971;0;0
58;Sérvia;1971;0;0
59;Síria;1971;0;0
60;Suazilândia;1971;0;0
61;Suíça;1971;0;0
62;Tcheca, República;1971;0;0
63;Tunísia;1971;0;0
64;Turquia;1971;0;0
65;Ucrânia;1971;0;0
66;Uruguai;1971;1917;1871
67;Não consta na tabela;1971;0;0
68;Não declarados;1971;0;0
69;Outros;1971;77789;4255
1;Africa do Sul;1972;0;0
2;Alemanha;1972;134438;30498
3;Argélia;1972;0;0
4;Arábia Saudita;1972;0;0
5;Argentina;1972;104906;12260
6;Armênia;1972;0;0
7;Austrália;1972;0;0
8;Áustria;1972;353;707
9;Bermudas;1972;0;0
10;Bélgica;1972;0;0
11;Bolívia;1972;0;0
12;Bósnia-Herzegovina;1972;0;0
13;Brasil;1972;0;0
14;Bulgária;1972;0;0
15;Canada;1972;0;0
16;Chile;1972;161736;101819
17;China;1972;0;0
18;Coreia do Sul, República;1972;0;0
19;Croácia;1972;0;0
20;Cuba;1972;0;0
21;Emirados Árabes Unidos;1972;0;0
22;Eslovênia;1972;0;0
23;Eslováquia;1972;0;0
24;Espanha;1972;300582;90159
25;Estados Unidos;1972;2156;0
26;França;1972;176688;78135
27;Geórgia;1972;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1972;0;0
29;Grécia;1972;0;0
30;Hong Kong;1972;0;0
31;Hungria;1972;0;0
32;Indonésia;1972;0;0
33;Irlanda;1972;0;0
34;Israel;1972;0;0
35;Itália;1972;142196;32376
36;Japão;1972;0;0
37;Iugoslávia;1972;1824;326
38;Líbano;1972;0;0
39;Luxemburgo;1972;0;0
40;Macedônia;1972;0;0
41;Marrocos;1972;0;0
42;México;1972;0;0
43;Moldávia;1972;0;0
44;Montenegro;1972;0;0
45;Noruega;1972;0;0
46;Nova Zelândia;1972;0;0
47;Países Baixos (Holanda);1972;0;0
48;Panamá;1972;0;0
49;Paraguai;1972;0;0
50;Peru;1972;0;0
51;Porto Rico;1972;0;0
52;Portugal;1972;1650727;531480
53;Reino Unido;1972;0;0
54;Republica Dominicana;1972;0;0
55;Romênia;1972;0;0
56;Rússia;1972;0;0
57;San Marino;1972;0;0
58;Sérvia;1972;0;0
59;Síria;1972;0;0
60;Suazilândia;1972;0;0
61;Suíça;1972;0;0
62;Tcheca, República;1972;0;0
63;Tunísia;1972;0;0
64;Turquia;1972;0;0
65;Ucrânia;1972;0;0
66;Uruguai;1972;7394;1871
67;Não consta na tabela;1972;0;0
68;Não declarados;1972;0;0
69;Outros;1972;79052;4255
1;Africa do Sul;1973;0;0
2;Alemanha;1973;111523;30498
3;Argélia;1973;0;0
4;Arábia Saudita;1973;0;0
5;Argentina;1973;116887;12260
6;Armênia;1973;0;0
7;Austrália;1973;0;0
8;Áustria;1973;2310;707
9;Bermudas;1973;0;0
10;Bélgica;1973;0;0
11;Bolívia;1973;0;0
12;Bósnia-Herzegovina;1973;0;0
13;Brasil;1973;0;0
14;Bulgária;1973;0;0
15;Canada;1973;0;0
16;Chile;1973;301559;101819
17;China;1973;0;0
18;Coreia do Sul, República;1973;0;0
19;Croácia;1973;0;0
20;Cuba;1973;0;0
21;Emirados Árabes Unidos;1973;0;0
22;Eslovênia;1973;0;0
23;Eslováquia;1973;0;0
24;Espanha;1973;226805;90159
25;Estados Unidos;1973;0;0
26;França;1973;259060;78135
27;Geórgia;1973;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1973;0;0
29;Grécia;1973;0;0
30;Hong Kong;1973;0;0
31;Hungria;1973;0;0
32;Indonésia;1973;0;0
33;Irlanda;1973;0;0
34;Israel;1973;0;0
35;Itália;1973;258754;32376
36;Japão;1973;0;0
37;Iugoslávia;1973;1251;326
38;Líbano;1973;0;0
39;Luxemburgo;1973;0;0
40;Macedônia;1973;0;0
41;Marrocos;1973;0;0
42;México;1973;0;0
43;Moldávia;1973;0;0
44;Montenegro;1973;0;0
45;Noruega;1973;0;0
46;Nova Zelândia;1973;0;0
47;Países Baixos (Holanda);1973;0;0
48;Panamá;1973;0;0
49;Paraguai;1973;0;0
50;Peru;1973;0;0
51;Porto Rico;1973;0;0
52;Portugal;1973;2818320;531480
53;Reino Unido;1973;0;0
54;Republica Dominicana;1973;0;0
55;Romênia;1973;0;0
56;Rússia;1973;0;0
57;San Marino;1973;0;0
58;Sérvia;1973;0;0
59;Síria;1973;0;0
60;Suazilândia;1973;0;0
61;Suíça;1973;0;0
62;Tcheca, República;1973;0;0
63;Tunísia;1973;0;0
64;Turquia;1973;0;0
65;Ucrânia;1973;0;0
66;Uruguai;1973;0;1871
67;Não consta na tabela;1973;0;0
68;Não declarados;1973;0;0
69;Outros;1973;4306;4255
1;Africa do Sul;1974;0;0
2;Alemanha;1974;219173;30498
3;Argélia;1974;0;0
4;Arábia Saudita;1974;0;0
5;Argentina;1974;215930;12260
6;Armênia;1974;0;0
7;Austrália;1974;0;0
8;Áustria;1974;5301;707
9;Bermudas;1974;0;0
10;Bélgica;1974;0;0
11;Bolívia;1974;0;0
12;Bósnia-Herzegovina;1974;0;0
13;Brasil;1974;0;0
14;Bulgária;1974;0;0
15;Canada;1974;0;0
16;Chile;1974;550691;101819
17;China;1974;0;0
18;Coreia do Sul, República;1974;0;0
19;Croácia;1974;0;0
20;Cuba;1974;0;0
21;Emirados Árabes Unidos;1974;0;0
22;Eslovênia;1974;0;0
23;Eslováquia;1974;0;0
24;Espanha;1974;362577;90159
25;Estados Unidos;1974;0;0
26;França;1974;316584;78135
27;Geórgia;1974;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1974;0;0
29;Grécia;1974;0;0
30;Hong Kong;1974;0;0
31;Hungria;1974;0;0
32;Indonésia;1974;0;0
33;Irlanda;1974;0;0
34;Israel;1974;0;0
35;Itália;1974;305763;32376
36;Japão;1974;0;0
37;Iugoslávia;1974;2520;326
38;Líbano;1974;0;0
39;Luxemburgo;1974;0;0
40;Macedônia;1974;0;0
41;Marrocos;1974;0;0
42;México;1974;0;0
43;Moldávia;1974;0;0
44;Montenegro;1974;0;0
45;Noruega;1974;0;0
46;Nova Zelândia;1974;0;0
47;Países Baixos (Holanda);1974;0;0
48;Panamá;1974;0;0
49;Paraguai;1974;0;0
50;Peru;1974;0;0
51;Porto Rico;1974;0;0
52;Portugal;1974;2245288;531480
53;Reino Unido;1974;0;0
54;Republica Dominicana;1974;0;0
55;Romênia;1974;0;0
56;Rússia;1974;0;0
57;San Marino;1974;0;0
58;Sérvia;1974;0;0
59;Síria;1974;0;0
60;Suazilândia;1974;0;0
61;Suíça;1974;0;0
62;Tcheca, República;1974;0;0
63;Tunísia;1974;0;0
64;Turquia;1974;0;0
65;Ucrânia;1974;0;0
66;Uruguai;1974;0;1871
67;Não consta na tabela;1974;0;0
68;Não declarados;1974;0;0
69;Outros;1974;21501;4255
1;Africa do Sul;1975;0;0
2;Alemanha;1975;134354;30498
3;Argélia;1975;0;0
4;Arábia Saudita;1975;0;0
5;Argentina;1975;145823;12260
6;Armênia;1975;0;0
7;Austrália;1975;0;0
8;Áustria;1975;8835;707
9;Bermudas;1975;0;0
10;Bélgica;1975;0;0
11;Bolívia;1975;0;0
12;Bósnia-Herzegovina;1975;0;0
13;Brasil;1975;0;0
14;Bulgária;1975;0;0
15;Canada;1975;0;0
16;Chile;1975;952233;101819
17;China;1975;0;0
18;Coreia do Sul, República;1975;0;0
19;Croácia;1975;0;0
20;Cuba;1975;0;0
21;Emirados Árabes Unidos;1975;0;0
22;Eslovênia;1975;0;0
23;Eslováquia;1975;0;0
24;Espanha;1975;174608;90159
25;Estados Unidos;1975;965;0
26;França;1975;191546;78135
27;Geórgia;1975;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1975;0;0
29;Grécia;1975;0;0
30;Hong Kong;1975;0;0
31;Hungria;1975;0;0
32;Indonésia;1975;0;0
33;Irlanda;1975;0;0
34;Israel;1975;0;0
35;Itália;1975;250541;32376
36;Japão;1975;0;0
37;Iugoslávia;1975;7969;326
38;Líbano;1975;0;0
39;Luxemburgo;1975;0;0
40;Macedônia;1975;0;0
41;Marrocos;1975;0;0
42;México;1975;0;0
43;Moldávia;1975;0;0
44;Montenegro;1975;0;0
45;Noruega;1975;0;0
46;Nova Zelândia;1975;0;0
47;Países Baixos (Holanda);1975;0;0
48;Panamá;1975;0;0
49;Paraguai;1975;0;0
50;Peru;1975;0;0
51;Porto Rico;1975;0;0
52;Portugal;1975;2192004;531480
53;Reino Unido;1975;0;0
54;Republica Dominicana;1975;0;0
55;Romênia;1975;0;0
56;Rússia;1975;0;0
57;San Marino;1975;0;0
58;Sérvia;1975;0;0
59;Síria;1975;0;0
60;Suazilândia;1975;0;0
61;Suíça;1975;0;0
62;Tcheca, República;1975;0;0
63;Tunísia;1975;0;0
64;Turquia;1975;0;0
65;Ucrânia;1975;0;0
66;Uruguai;1975;0;1871
67;Não consta na tabela;1975;0;0
68;Não declarados;1975;0;0
69;Outros;1975;18132;4255
1;Africa do Sul;1976;0;0
2;Alemanha;1976;168134;30498
3;Argélia;1976;0;0
4;Arábia Saudita;1976;0;0
5;Argentina;1976;348653;12260
6;Armênia;1976;0;0
7;Austrália;1976;0;0
8;Áustria;1976;0;707
9;Bermudas;1976;0;0
10;Bélgica;1976;0;0
11;Bolívia;1976;0;0
12;Bósnia-Herzegovina;1976;0;0
13;Brasil;1976;0;0
14;Bulgária;1976;0;0
15;Canada;1976;0;0
16;Chile;1976;2175650;101819
17;China;1976;0;0
18;Coreia do Sul, República;1976;0;0
19;Croácia;1976;0;0
20;Cuba;1976;0;0
21;Emirados Árabes Unidos;1976;0;0
22;Eslovênia;1976;0;0
23;Eslováquia;1976;0;0
24;Espanha;1976;52474;90159
25;Estados Unidos;1976;1800;0
26;França;1976;284613;78135
27;Geórgia;1976;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1976;0;0
29;Grécia;1976;0;0
30;Hong Kong;1976;0;0
31;Hungria;1976;0;0
32;Indonésia;1976;0;0
33;Irlanda;1976;0;0
34;Israel;1976;0;0
35;Itália;1976;304377;32376
36;Japão;1976;0;0
37;Iugoslávia;1976;2100;326
38;Líbano;1976;0;0
39;Luxemburgo;1976;0;0
40;Macedônia;1976;0;0
41;Marrocos;1976;0;0
42;México;1976;0;0
43;Moldávia;1976;0;0
44;Montenegro;1976;0;0
45;Noruega;1976;0;0
46;Nova Zelândia;1976;0;0
47;Países Baixos (Holanda);1976;0;0
48;Panamá;1976;0;0
49;Paraguai;1976;0;0
50;Peru;1976;0;0
51;Porto Rico;1976;0;0
52;Portugal;1976;2284423;531480
53;Reino Unido;1976;0;0
54;Republica Dominicana;1976;0;0
55;Romênia;1976;0;0
56;Rússia;1976;0;0
57;San Marino;1976;0;0
58;Sérvia;1976;0;0
59;Síria;1976;0;0
60;Suazilândia;1976;0;0
61;Suíça;1976;0;0
62;Tcheca, República;1976;0;0
63;Tunísia;1976;0;0
64;Turquia;1976;0;0
65;Ucrânia;1976;0;0
66;Uruguai;1976;0;1871
67;Não consta na tabela;1976;0;0
68;Não declarados;1976;0;0
69;Outros;1976;10200;4255
1;Africa do Sul;1977;0;0
2;Alemanha;1977;160926;30498
3;Argélia;1977;0;0
4;Arábia Saudita;1977;0;0
5;Argentina;1977;408399;12260
6;Armênia;1977;0;0
7;Austrália;1977;0;0
8;Áustria;1977;0;707
9;Bermudas;1977;0;0
10;Bélgica;1977;0;0
11;Bolívia;1977;0;0
12;Bósnia-Herzegovina;1977;0;0
13;Brasil;1977;0;0
14;Bulgária;1977;0;0
15;Canada;1977;0;0
16;Chile;1977;2593464;101819
17;China;1977;0;0
18;Coreia do Sul, República;1977;0;0
19;Croácia;1977;0;0
20;Cuba;1977;0;0
21;Emirados Árabes Unidos;1977;0;0
22;Eslovênia;1977;0;0
23;Eslováquia;1977;0;0
24;Espanha;1977;105667;90159
25;Estados Unidos;1977;2250;0
26;França;1977;322033;78135
27;Geórgia;1977;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1977;0;0
29;Grécia;1977;0;0
30;Hong Kong;1977;0;0
31;Hungria;1977;0;0
32;Indonésia;1977;0;0
33;Irlanda;1977;0;0
34;Israel;1977;0;0
35;Itália;1977;348461;32376
36;Japão;1977;0;0
37;Iugoslávia;1977;1764;326
38;Líbano;1977;0;0
39;Luxemburgo;1977;0;0
40;Macedônia;1977;0;0
41;Marrocos;1977;0;0
42;México;1977;0;0
43;Moldávia;1977;0;0
44;Montenegro;1977;0;0
45;Noruega;1977;0;0
46;Nova Zelândia;1977;0;0
47;Países Baixos (Holanda);1977;0;0
48;Panamá;1977;0;0
49;Paraguai;1977;0;0
50;Peru;1977;0;0
51;Porto Rico;1977;0;0
52;Portugal;1977;2132582;531480
53;Reino Unido;1977;0;0
54;Republica Dominicana;1977;0;0
55;Romênia;1977;0;0
56;Rússia;1977;0;0
57;San Marino;1977;0;0
58;Sérvia;1977;0;0
59;Síria;1977;0;0
60;Suazilândia;1977;0;0
61;Suíça;1977;0;0
62;Tcheca, República;1977;0;0
63;Tunísia;1977;0;0
64;Turquia;1977;0;0
65;Ucrânia;1977;0;0
66;Uruguai;1977;24191;1871
67;Não consta na tabela;1977;0;0
68;Não declarados;1977;0;0
69;Outros;1977;450;4255
1;Africa do Sul;1978;0;0
2;Alemanha;1978;437831;30498
3;Argélia;1978;0;0
4;Arábia Saudita;1978;0;0
5;Argentina;1978;614134;12260
6;Armênia;1978;0;0
7;Austrália;1978;0;0
8;Áustria;1978;600;707
9;Bermudas;1978;0;0
10;Bélgica;1978;0;0
11;Bolívia;1978;0;0
12;Bósnia-Herzegovina;1978;0;0
13;Brasil;1978;0;0
14;Bulgária;1978;0;0
15;Canada;1978;0;0
16;Chile;1978;3742918;101819
17;China;1978;0;0
18;Coreia do Sul, República;1978;0;0
19;Croácia;1978;0;0
20;Cuba;1978;0;0
21;Emirados Árabes Unidos;1978;0;0
22;Eslovênia;1978;0;0
23;Eslováquia;1978;0;0
24;Espanha;1978;87767;90159
25;Estados Unidos;1978;58050;0
26;França;1978;355292;78135
27;Geórgia;1978;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1978;0;0
29;Grécia;1978;0;0
30;Hong Kong;1978;0;0
31;Hungria;1978;0;0
32;Indonésia;1978;0;0
33;Irlanda;1978;0;0
34;Israel;1978;0;0
35;Itália;1978;250535;32376
36;Japão;1978;0;0
37;Iugoslávia;1978;1764;326
38;Líbano;1978;0;0
39;Luxemburgo;1978;0;0
40;Macedônia;1978;0;0
41;Marrocos;1978;0;0
42;México;1978;0;0
43;Moldávia;1978;0;0
44;Montenegro;1978;0;0
45;Noruega;1978;0;0
46;Nova Zelândia;1978;0;0
47;Países Baixos (Holanda);1978;0;0
48;Panamá;1978;0;0
49;Paraguai;1978;0;0
50;Peru;1978;0;0
51;Porto Rico;1978;0;0
52;Portugal;1978;2763298;531480
53;Reino Unido;1978;0;0
54;Republica Dominicana;1978;0;0
55;Romênia;1978;0;0
56;Rússia;1978;0;0
57;San Marino;1978;0;0
58;Sérvia;1978;0;0
59;Síria;1978;0;0
60;Suazilândia;1978;0;0
61;Suíça;1978;0;0
62;Tcheca, República;1978;0;0
63;Tunísia;1978;0;0
64;Turquia;1978;0;0
65;Ucrânia;1978;0;0
66;Uruguai;1978;32371;1871
67;Não consta na tabela;1978;0;0
68;Não declarados;1978;0;0
69;Outros;1978;1347;4255
1;Africa do Sul;1979;0;0
2;Alemanha;1979;433478;30498
3;Argélia;1979;0;0
4;Arábia Saudita;1979;0;0
5;Argentina;1979;646978;12260
6;Armênia;1979;0;0
7;Austrália;1979;0;0
8;Áustria;1979;4250;707
9;Bermudas;1979;0;0
10;Bélgica;1979;0;0
11;Bolívia;1979;0;0
12;Bósnia-Herzegovina;1979;0;0
13;Brasil;1979;0;0
14;Bulgária;1979;0;0
15;Canada;1979;0;0
16;Chile;1979;4235991;101819
17;China;1979;0;0
18;Coreia do Sul, República;1979;0;0
19;Croácia;1979;0;0
20;Cuba;1979;0;0
21;Emirados Árabes Unidos;1979;0;0
22;Eslovênia;1979;0;0
23;Eslováquia;1979;0;0
24;Espanha;1979;103825;90159
25;Estados Unidos;1979;32400;0
26;França;1979;458369;78135
27;Geórgia;1979;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1979;0;0
29;Grécia;1979;0;0
30;Hong Kong;1979;0;0
31;Hungria;1979;0;0
32;Indonésia;1979;0;0
33;Irlanda;1979;0;0
34;Israel;1979;0;0
35;Itália;1979;407274;32376
36;Japão;1979;0;0
37;Iugoslávia;1979;2100;326
38;Líbano;1979;0;0
39;Luxemburgo;1979;0;0
40;Macedônia;1979;0;0
41;Marrocos;1979;0;0
42;México;1979;0;0
43;Moldávia;1979;0;0
44;Montenegro;1979;0;0
45;Noruega;1979;0;0
46;Nova Zelândia;1979;0;0
47;Países Baixos (Holanda);1979;0;0
48;Panamá;1979;0;0
49;Paraguai;1979;0;0
50;Peru;1979;0;0
51;Porto Rico;1979;0;0
52;Portugal;1979;2823760;531480
53;Reino Unido;1979;0;0
54;Republica Dominicana;1979;0;0
55;Romênia;1979;0;0
56;Rússia;1979;0;0
57;San Marino;1979;0;0
58;Sérvia;1979;0;0
59;Síria;1979;0;0
60;Suazilândia;1979;0;0
61;Suíça;1979;0;0
62;Tcheca, República;1979;0;0
63;Tunísia;1979;0;0
64;Turquia;1979;0;0
65;Ucrânia;1979;0;0
66;Uruguai;1979;13320;1871
67;Não consta na tabela;1979;0;0
68;Não declarados;1979;0;0
69;Outros;1979;2411;4255
1;Africa do Sul;1980;0;0
2;Alemanha;1980;457033;30498
3;Argélia;1980;0;0
4;Arábia Saudita;1980;0;0
5;Argentina;1980;298471;12260
6;Armênia;1980;0;0
7;Austrália;1980;0;0
8;Áustria;1980;2385;707
9;Bermudas;1980;0;0
10;Bélgica;1980;0;0
11;Bolívia;1980;0;0
12;Bósnia-Herzegovina;1980;0;0
13;Brasil;1980;0;0
14;Bulgária;1980;0;0
15;Canada;1980;0;0
16;Chile;1980;2568586;101819
17;China;1980;0;0
18;Coreia do Sul, República;1980;0;0
19;Croácia;1980;0;0
20;Cuba;1980;0;0
21;Emirados Árabes Unidos;1980;0;0
22;Eslovênia;1980;0;0
23;Eslováquia;1980;0;0
24;Espanha;1980;111381;90159
25;Estados Unidos;1980;32400;0
26;França;1980;248038;78135
27;Geórgia;1980;0;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1980;0;0
29;Grécia;1980;0;0
30;Hong Kong;1980;0;0
31;Hungria;1980;0;0
32;Indonésia;1980;0;0
33;Irlanda;1980;0;0
34;Israel;1980;0;0
35;Itália;1980;217226;32376
36;Japão;1980;0;0
37;Iugoslávia;1980;0;326
38;Líbano;1980;0;0
39;Luxemburgo;1980;0;0
40;Macedônia;1980;0;0
41;Marrocos;1980;0;0
42;México;1980;0;0
43;Moldávia;1980;0;0
44;Montenegro;1980;0;0
45;Noruega;1980;0;0
46;Nova Zelândia;1980;0;0
47;Países Baixos (Holanda);1980;0;0
48;Panamá;1980;0;0
49;Paraguai;1980;0;0
50;Peru;1980;0;0
51;Porto Rico;1980;0;0
52;Portugal;1980;1601931;531480
53;Reino Unido;1980;0;0
54;Republica Dominicana;1980;0;0
55;Romênia;1980;0;0
56;Rússia;1980;0;0
57;San Marino;1980;0;0
58;Sérvia;1980;0;0
59;Síria;1980;0;0
60;Suazilândia;1980;0;0
61;Suíça;1980;0;0
62;Tcheca, República;1980;0;0
63;Tunísia;1980;0;0
64;Turquia;1980;0;0
65;Ucrânia;1980;0;0
66;Uruguai;1980;8880;1871
67;Não consta na tabela;1980;0;0
68;Não declarados;1980;0;0
69;Outros;1980;10446;4255
1;Africa do Sul;1981;0;0
2;Alemanha;1981;707194;30498
3;Argélia;1981;0;0
4;Arábia Saudita;1981;0;0
5;Argentina;1981;131738;12260
6;Armênia;1981;0;0
7;Austrália;1981;0;0
8;Áustria;1981;0;707
9;Bermudas;1981;0;0
10;Bélgica;1981;0;0
11;Bolívia;1981;0;0
12;Bósnia-Herzegovina;1981;0;0
